run_id,category,description,varied_params,sparse_prior.type,sparse_prior.tau0,sparse_prior.slab_scale,sparse_prior.degree_penalty,sparse_prior.spike_sd,sparse_prior.slab_sd,sparse_prior.theta_a,sparse_prior.theta_b,mcmc.num_warmup,mcmc.num_samples,mcmc.num_chains,mcmc.thinning,mcmc.target_accept,mcmc.max_treedepth,selection.strategy,selection.threshold,selection.hyperparameter,library.degree,library.include_bias,library.include_mm,integrator.shooting,integrator.segments,integrator.rtol,integrator.atol,integrator.max_steps,shooting_scale,initialization.strategy,initialization.std_noise,observations.noise_fraction,observations.replicates,time.T
0,integrator_hs,segments=10 (HS),integrator.segments: 5 -> 10,horseshoe,1.0,1.0,1.0,,,,,2000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,10,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
1,integrator_ss,segments=10 (SS),integrator.segments: 5 -> 10,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,2000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,10,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
2,integrator_hs,segments=15 (HS),integrator.segments: 5 -> 15,horseshoe,1.0,1.0,1.0,,,,,2000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,15,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
3,integrator_ss,segments=15 (SS),integrator.segments: 5 -> 15,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,2000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,15,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
4,integrator_hs,max_steps=2000 (HS),integrator.max_steps: 4000 -> 2000,horseshoe,1.0,1.0,1.0,,,,,2000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,2000,0.02,regression,0.01,0.1,4,30
5,integrator_ss,max_steps=2000 (SS),integrator.max_steps: 4000 -> 2000,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,2000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,2000,0.02,regression,0.01,0.1,4,30
6,mcmc_hs,chains=2 (HS),mcmc.num_chains: 4 -> 2,horseshoe,1.0,1.0,1.0,,,,,2000,1000,2,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
7,mcmc_ss,chains=2 (SS),mcmc.num_chains: 4 -> 2,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,2000,1000,2,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
8,data_hs,replicates=2 (HS),observations.replicates: 4 -> 2,horseshoe,1.0,1.0,1.0,,,,,2000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,2,30
9,data_ss,replicates=2 (SS),observations.replicates: 4 -> 2,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,2000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,2,30
10,data_hs,T=15 (HS),time.T: 30 -> 15,horseshoe,1.0,1.0,1.0,,,,,2000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,15
11,data_ss,T=15 (SS),time.T: 30 -> 15,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,2000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,15
12,baseline,Horseshoe baseline,none (baseline),horseshoe,1.0,1.0,1.0,,,,,2000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
13,baseline,Spike-and-slab baseline,none (baseline),spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,2000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
14,prior_hs,tau0=0.1 (strong sparsity),sparse_prior.tau0: 1.0 -> 0.1,horseshoe,0.1,1.0,1.0,,,,,2000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
15,prior_hs,tau0=0.5,sparse_prior.tau0: 1.0 -> 0.5,horseshoe,0.5,1.0,1.0,,,,,2000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
16,prior_hs,tau0=2.0 (weak sparsity),sparse_prior.tau0: 1.0 -> 2.0,horseshoe,2.0,1.0,1.0,,,,,2000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
17,prior_hs,slab_scale=None (standard horseshoe),sparse_prior.slab_scale: 1.0 -> ,horseshoe,1.0,,1.0,,,,,2000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
18,prior_hs,slab_scale=5.0,sparse_prior.slab_scale: 1.0 -> 5.0,horseshoe,1.0,5.0,1.0,,,,,2000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
19,prior_ss,spike_sd=0.001 (tighter spike),sparse_prior.spike_sd: 0.01 -> 0.001,spike_and_slab,,,1.0,0.001,1.0,1.0,1.0,2000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
20,prior_ss,spike_sd=0.1 (wider spike),sparse_prior.spike_sd: 0.01 -> 0.1,spike_and_slab,,,1.0,0.1,1.0,1.0,1.0,2000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
21,prior_ss,slab_sd=0.5 (narrower slab),sparse_prior.slab_sd: 1.0 -> 0.5,spike_and_slab,,,1.0,0.01,0.5,1.0,1.0,2000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
22,prior_ss,slab_sd=5.0 (wider slab),sparse_prior.slab_sd: 1.0 -> 5.0,spike_and_slab,,,1.0,0.01,5.0,1.0,1.0,2000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
23,prior_ss,theta_b=5 (sparse Beta prior),sparse_prior.theta_b: 1.0 -> 5.0,spike_and_slab,,,1.0,0.01,1.0,1.0,5.0,2000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
24,prior_ss,theta_a=theta_b=0.5 (U-shaped Beta),sparse_prior.theta_a: 1.0 -> 0.5 | sparse_prior.theta_b: 1.0 -> 0.5,spike_and_slab,,,1.0,0.01,1.0,0.5,0.5,2000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
25,prior_hs,"degree_penalty=0 (no penalty, HS)",sparse_prior.degree_penalty: 1.0 -> 0.0,horseshoe,1.0,1.0,0.0,,,,,2000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
26,prior_ss,"degree_penalty=0 (no penalty, SS)",sparse_prior.degree_penalty: 1.0 -> 0.0,spike_and_slab,,,0.0,0.01,1.0,1.0,1.0,2000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
27,mcmc_hs,warmup=500 (HS),mcmc.num_warmup: 2000 -> 500,horseshoe,1.0,1.0,1.0,,,,,500,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
28,mcmc_hs,warmup=1000 (HS),mcmc.num_warmup: 2000 -> 1000,horseshoe,1.0,1.0,1.0,,,,,1000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
29,mcmc_hs,warmup=5000 (HS),mcmc.num_warmup: 2000 -> 5000,horseshoe,1.0,1.0,1.0,,,,,5000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
30,mcmc_hs,warmup=10000 (HS),mcmc.num_warmup: 2000 -> 10000,horseshoe,1.0,1.0,1.0,,,,,10000,1000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
31,mcmc_hs,samples=250 (HS),mcmc.num_samples: 1000 -> 250,horseshoe,1.0,1.0,1.0,,,,,2000,250,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
32,mcmc_hs,samples=500 (HS),mcmc.num_samples: 1000 -> 500,horseshoe,1.0,1.0,1.0,,,,,2000,500,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
33,mcmc_hs,samples=2000 (HS),mcmc.num_samples: 1000 -> 2000,horseshoe,1.0,1.0,1.0,,,,,2000,2000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
34,mcmc_hs,samples=5000 (HS),mcmc.num_samples: 1000 -> 5000,horseshoe,1.0,1.0,1.0,,,,,2000,5000,4,1,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
35,mcmc_hs,thinning=2 (HS),mcmc.thinning: 1 -> 2,horseshoe,1.0,1.0,1.0,,,,,2000,1000,4,2,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
36,mcmc_hs,thinning=5 (HS),mcmc.thinning: 1 -> 5,horseshoe,1.0,1.0,1.0,,,,,2000,1000,4,5,0.85,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
37,mcmc_hs,target_accept=0.80 (HS),mcmc.target_accept: 0.85 -> 0.8,horseshoe,1.0,1.0,1.0,,,,,2000,1000,4,1,0.8,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
38,mcmc_hs,target_accept=0.95 (HS),mcmc.target_accept: 0.85 -> 0.95,horseshoe,1.0,1.0,1.0,,,,,2000,1000,4,1,0.95,6,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
39,mcmc_hs,max_treedepth=8 (HS),mcmc.max_treedepth: 6 -> 8,horseshoe,1.0,1.0,1.0,,,,,2000,1000,4,1,0.85,8,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
40,mcmc_hs,max_treedepth=10 (HS),mcmc.max_treedepth: 6 -> 10,horseshoe,1.0,1.0,1.0,,,,,2000,1000,4,1,0.85,10,ci_nonzero_or,0.0,0.95,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
41,mcmc_ss,warmup=500 (SS),mcmc.num_warmup: 2000 -> 500,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,500,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
42,mcmc_ss,warmup=1000 (SS),mcmc.num_warmup: 2000 -> 1000,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,1000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
43,mcmc_ss,warmup=5000 (SS),mcmc.num_warmup: 2000 -> 5000,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,5000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
44,mcmc_ss,warmup=10000 (SS),mcmc.num_warmup: 2000 -> 10000,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,10000,1000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
45,mcmc_ss,samples=250 (SS),mcmc.num_samples: 1000 -> 250,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,2000,250,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
46,mcmc_ss,samples=500 (SS),mcmc.num_samples: 1000 -> 500,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,2000,500,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
47,mcmc_ss,samples=2000 (SS),mcmc.num_samples: 1000 -> 2000,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,2000,2000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
48,mcmc_ss,samples=5000 (SS),mcmc.num_samples: 1000 -> 5000,spike_and_slab,,,1.0,0.01,1.0,1.0,1.0,2000,5000,4,1,0.85,6,incl_prob,0.9,,2,False,False,multiple,5,1e-07,1e-09,4000,0.02,regression,0.01,0.1,4,30
